class,precision,recall,f1,support
normal,0.6543781989210126,0.9742559983523839,0.7829037196408623,9711
neptune,0.959504132231405,0.997208503328323,0.9779930504369801,4657
__unseen_at_train__,0.0,0.0,0.0,3750
guess_passwd,1.0,0.030056864337936636,0.0583596214511041,1231
warezmaster,0.0,0.0,0.0,944
satan,0.5894145950280674,1.0,0.7416750756811302,735
smurf,1.0,1.0,1.0,665
back,0.47702060221870046,0.8384401114206128,0.6080808080808081,359
portsweep,0.6666666666666666,0.9299363057324841,0.776595744680851,157
ipsweep,0.972027972027972,0.9858156028368794,0.9788732394366197,141
nmap,0.46794871794871795,1.0,0.6375545851528385,73
pod,0.7222222222222222,0.9512195121951219,0.8210526315789474,41
buffer_overflow,0.5,0.2,0.2857142857142857,20
multihop,0.0,0.0,0.0,18
rootkit,0.0,0.0,0.0,13
teardrop,0.24489795918367346,1.0,0.39344262295081966,12
land,1.0,1.0,1.0,7
ftp_write,0.0,0.0,0.0,3
phf,0.3333333333333333,0.5,0.4,2
loadmodule,0.0,0.0,0.0,2
perl,0.4,1.0,0.5714285714285714,2
imap,0.0,0.0,0.0,1
spy,0.0,0.0,0.0,0
warezclient,0.0,0.0,0.0,0
