class,precision,recall,f1,support
normal,0.6489734258051225,0.9732262382864793,0.7786932520392189,9711
neptune,0.9653589315525877,0.9933433540906162,0.9791512329347021,4657
__unseen_at_train__,0.0,0.0,0.0,3750
guess_passwd,1.0,0.023558082859463852,0.046031746031746035,1231
warezmaster,0.16666666666666666,0.001059322033898305,0.002105263157894737,944
satan,0.5154277699859747,1.0,0.6802406293382693,735
smurf,1.0,1.0,1.0,665
back,0.657563025210084,0.871866295264624,0.7497005988023953,359
portsweep,0.6304347826086957,0.9235668789808917,0.7493540051679587,157
ipsweep,0.9652777777777778,0.9858156028368794,0.9754385964912281,141
nmap,0.9605263157894737,1.0,0.9798657718120806,73
pod,0.7222222222222222,0.9512195121951219,0.8210526315789474,41
buffer_overflow,0.0,0.0,0.0,20
multihop,0.0,0.0,0.0,18
rootkit,0.0,0.0,0.0,13
teardrop,0.24489795918367346,1.0,0.39344262295081966,12
land,1.0,1.0,1.0,7
ftp_write,0.0,0.0,0.0,3
phf,1.0,0.5,0.6666666666666666,2
loadmodule,0.0,0.0,0.0,2
perl,0.14285714285714285,0.5,0.2222222222222222,2
imap,0.0,0.0,0.0,1
spy,0.0,0.0,0.0,0
warezclient,0.0,0.0,0.0,0
