class,precision,recall,f1,support
normal,0.6603984620761971,0.9728143342601174,0.7867255163224517,9711
neptune,0.9402162823913487,0.9894782048529096,0.9642184557438794,4657
__unseen_at_train__,0.0,0.0,0.0,3750
guess_passwd,0.0,0.0,0.0,1231
warezmaster,0.6,0.0031779661016949155,0.006322444678609062,944
satan,0.6036333608587944,0.9945578231292517,0.7512846865364851,735
smurf,0.9837278106508875,1.0,0.9917971662938105,665
back,0.5,1.0,0.6666666666666666,359
portsweep,0.5859375,0.9554140127388535,0.7263922518159807,157
ipsweep,0.9448275862068966,0.9716312056737588,0.958041958041958,141
nmap,0.42441860465116277,1.0,0.5959183673469388,73
pod,0.7222222222222222,0.9512195121951219,0.8210526315789474,41
buffer_overflow,0.125,0.05,0.07142857142857142,20
multihop,0.0,0.0,0.0,18
rootkit,0.0,0.0,0.0,13
teardrop,0.24489795918367346,1.0,0.39344262295081966,12
land,1.0,1.0,1.0,7
ftp_write,0.0,0.0,0.0,3
phf,1.0,0.5,0.6666666666666666,2
loadmodule,0.0,0.0,0.0,2
perl,0.125,0.5,0.2,2
imap,0.0,0.0,0.0,1
spy,0.0,0.0,0.0,0
warezclient,0.0,0.0,0.0,0
