class,precision,recall,f1,support
normal,0.664671502006901,0.9719905262073937,0.7894780863164939,9711
neptune,0.94446704637917,0.996993772815117,0.9700198474877259,4657
__unseen_at_train__,0.0,0.0,0.0,3750
guess_passwd,0.0,0.0,0.0,1231
warezmaster,0.6666666666666666,0.00423728813559322,0.008421052631578947,944
satan,0.6019736842105263,0.9959183673469387,0.7503844182470528,735
smurf,0.982274741506647,1.0,0.9910581222056631,665
back,0.46866840731070497,1.0,0.6382222222222222,359
portsweep,0.6710526315789473,0.9745222929936306,0.7948051948051948,157
ipsweep,0.9452054794520548,0.9787234042553191,0.9616724738675958,141
nmap,0.4294117647058823,1.0,0.6008230452674898,73
pod,0.7222222222222222,0.9512195121951219,0.8210526315789474,41
buffer_overflow,0.125,0.05,0.07142857142857142,20
multihop,0.0,0.0,0.0,18
rootkit,0.0,0.0,0.0,13
teardrop,0.24489795918367346,1.0,0.39344262295081966,12
land,1.0,1.0,1.0,7
ftp_write,0.0,0.0,0.0,3
phf,1.0,0.5,0.6666666666666666,2
loadmodule,0.0,0.0,0.0,2
perl,0.16666666666666666,0.5,0.25,2
imap,0.0,0.0,0.0,1
spy,0.0,0.0,0.0,0
warezclient,0.0,0.0,0.0,0
