granularity,model,best_params,accuracy,majority_class_baseline_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
binary,knn,{'n_neighbors': 1},0.7924059616749468,0.43075762952448543,0.8476136967748653,0.7924059616749468,0.7904737450206842,0.8272692032689699,0.8148768400782458,0.7918978197125179
binary,random_forest,"{'n_estimators': 500, 'max_depth': None}",0.774263662171753,0.43075762952448543,0.8352262925586921,0.774263662171753,0.7714329149531648,0.8141958691257614,0.7981898040946672,0.7733859741391167
binary,gradient_boosting,"{'max_iter': 300, 'max_depth': None}",0.7935149041873669,0.43075762952448543,0.8451568970169567,0.7935149041873669,0.7919013516231245,0.825451898041892,0.8150993342123326,0.7931327158630572
binary,knn_smote,{'n_neighbors': 1},0.7924059616749468,0.43075762952448543,0.8476136967748653,0.7924059616749468,0.7904737450206842,0.8272692032689699,0.8148768400782458,0.7918978197125179
binary,random_forest_smote,"{'n_estimators': 500, 'max_depth': None}",0.774263662171753,0.43075762952448543,0.8352262925586921,0.774263662171753,0.7714329149531648,0.8141958691257614,0.7981898040946672,0.7733859741391167
binary,gradient_boosting_smote,"{'max_iter': 300, 'max_depth': None}",0.7935149041873669,0.43075762952448543,0.8451568970169567,0.7935149041873669,0.7919013516231245,0.825451898041892,0.8150993342123326,0.7931327158630572
category5,knn,{'n_neighbors': 1},0.7697835344215755,0.43075762952448543,0.7987532442812687,0.7697835344215755,0.7282836935892965,0.6895877302309732,0.5426390830247877,0.5428332061614761
category5,random_forest,"{'n_estimators': 200, 'max_depth': None}",0.7499556422995032,0.43075762952448543,0.8062021581066381,0.7499556422995032,0.7041975872016242,0.765398127442947,0.49842821658973924,0.5094924318653369
category5,gradient_boosting,"{'max_iter': 100, 'max_depth': 10}",0.772666784953868,0.43075762952448543,0.8276137909637863,0.772666784953868,0.7493999815969804,0.8449955907124714,0.5670569229669291,0.6097755789186297
category5,knn_smote,{'n_neighbors': 3},0.7693843151171044,0.43075762952448543,0.8136322138414053,0.7693843151171044,0.726991475983802,0.7313623993261834,0.5788580749591947,0.5671810566513272
category5,random_forest_smote,"{'n_estimators': 200, 'max_depth': None}",0.745874733853797,0.43075762952448543,0.8073157680059583,0.745874733853797,0.7035320940591633,0.7853701099809797,0.5166591808473794,0.5371159880967816
category5,gradient_boosting_smote,"{'max_iter': 300, 'max_depth': None}",0.7822036905606813,0.43075762952448543,0.8317583359112066,0.7822036905606813,0.7580955450352528,0.8506236349848771,0.5987316827316295,0.6439090405242429
multiclass,knn,{'n_neighbors': 1},0.7012952448545068,0.43075762952448543,0.5821531617052826,0.7012952448545068,0.6116174725074367,0.34287718201143697,0.4309506177764942,0.33409492504259947
multiclass,random_forest,"{'n_estimators': 500, 'max_depth': None}",0.7201029098651526,0.43075762952448543,0.5738095071215639,0.7201029098651526,0.617835070673954,0.41131651253222534,0.5168823069109438,0.4173894785248602
multiclass,gradient_boosting,"{'max_iter': 300, 'max_depth': None}",0.7215223562810504,0.43075762952448543,0.6055024386748845,0.7215223562810504,0.6217660706915048,0.45397338180826224,0.5639514953728973,0.456076088919719
multiclass,knn_smote,{'n_neighbors': 1},0.7013839602555003,0.43075762952448543,0.5823611726714967,0.7013839602555003,0.611988310999918,0.34345142374492504,0.4311185901149281,0.33511793409450635
multiclass,random_forest_smote,"{'n_estimators': 200, 'max_depth': None}",0.7215667139815471,0.43075762952448543,0.5793388998434242,0.7215667139815471,0.6203224036083426,0.418833859647394,0.5184176158238746,0.4220641285076532
multiclass,gradient_boosting_smote,"{'max_iter': 100, 'max_depth': 10}",0.720235982966643,0.43075762952448543,0.612718763398389,0.720235982966643,0.6204953494081095,0.44250858415247585,0.488485636939499,0.4184985516330895
